name,surgery_date,type,source,surgery_year,date_precision
"Springs, Jeffrey",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
"López, Pablo",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
"Ober, Bailey",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
"Ragans, Cole",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
"Corbin, Patrick",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
"Irvin, Jake",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
"Rodón, Carlos",,Tommy John (date unknown),2023 roster cross-reference,,roster_confirmed_only
"Crochet, Garrett",,Tommy John (date unknown),2023 roster cross-reference,,roster_confirmed_only
"Rasmussen, Drew",,Tommy John (date unknown),2023 roster cross-reference,,roster_confirmed_only
"Ohtani, Shohei",,Tommy John (date unknown),2023 roster cross-reference,,roster_confirmed_only
"Soriano, José",,Tommy John (date unknown),2023 roster cross-reference,,roster_confirmed_only
"Márquez, Germán",,Tommy John (date unknown),2023 roster cross-reference,,roster_confirmed_only
"Senzatela, Antonio",,Tommy John (date unknown),2023 roster cross-reference,,roster_confirmed_only
"Cueto, Johnny",,Tommy John (date unknown),2023 roster cross-reference,,roster_confirmed_only
"Wainwright, Adam",,Tommy John (date unknown),2023 roster cross-reference,,roster_confirmed_only
"Gonzales, Marco",,Tommy John (date unknown),2023 roster cross-reference,,roster_confirmed_only
"Ryu, Hyun Jin",,Tommy John (date unknown),2023 roster cross-reference,,roster_confirmed_only
"Quantrill, Cal",,Tommy John (date unknown),2023 roster cross-reference,,roster_confirmed_only
"Maeda, Kenta",,Tommy John (date unknown),2023 roster cross-reference,,roster_confirmed_only
"Urquidy, José",,Tommy John (date unknown),2023 roster cross-reference,,roster_confirmed_only
"Skubal, Tarik",,Tommy John (date unknown),2022 roster cross-reference,,roster_confirmed_only
"Bundy, Dylan",,Tommy John (date unknown),2022 roster cross-reference,,roster_confirmed_only
