"last_name, first_name",arm_angle,ff_avg_speed
"Kluber, Corey",32.0,88.9
"Kremer, Dean",40.4,93.94999999999999
"Lamet, Dinelson",45.0,97.0
"Lester, Jon",36.7,89.4
"Littell, Zack",39.4,92.1
"Lugo, Seth",30.85,91.9
"Luzardo, Jesús",32.5,96.73333333333333
"Lyles, Jordan",44.0,92.0
"Lynn, Lance",32.85,93.2
"López, Pablo",34.666666666666664,94.46666666666665
"Maeda, Kenta",37.4,91.6
"Mahle, Tyler",39.8,94.0
"Manaea, Sean",27.45,92.2
"Manoah, Alek",38.2,93.9
"Martin, Davis",35.9,93.9
"Martinez, Nick",56.45,92.69999999999999
"McClanahan, Shane",39.0,96.7
"McGreevy, Michael",33.2,91.8
"McKenzie, Triston",51.9,92.5
"McLean, Nolan",31.0,96.1
"Messick, Parker",42.1,94.2
"Mikolas, Miles",46.26666666666667,93.33333333333333
"Miley, Wade",54.1,89.9
"Miller, Bryce",43.1,95.2
"Mills, Alec",32.2,89.8
"Misiorowski, Jacob",29.9,100.6
"Morton, Charlie",21.6,94.85
"Musgrove, Joe",36.25,93.1
"Márquez, Germán",37.26666666666667,95.43333333333334
"Nola, Aaron",20.96666666666667,92.66666666666667
"Ober, Bailey",35.0,91.7
"Ohtani, Shohei",38.6,97.3
"Oviedo, Johan",30.2,95.8
"Pallante, Andre",57.5,94.85
"Parker, Mitchell",60.9,93.0
"Pepiot, Ryan",41.3,95.2
"Peralta, Freddy",35.975,94.425
"Peterson, David",40.4,92.3
"Pfaadt, Brandon",27.299999999999997,93.69999999999999
"Pivetta, Nick",55.7,93.6
"Pérez, Martín",43.650000000000006,92.55000000000001
"Quantrill, Cal",45.0,93.9
"Quintana, Jose",44.55,90.95
"Ragans, Cole",45.1,95.4
"Rasmussen, Drew",52.6,96.0
"Rea, Colin",32.05,93.35
"Rodriguez, Eduardo",43.3,92.0
"Rodón, Carlos",46.199999999999996,95.0
"Roupp, Landen",23.6,92.9
"Ryan, Joe",24.450000000000003,93.55000000000001
"Ryu, Hyun Jin",39.8,89.8
"Sale, Chris",10.8,95.44999999999999
"Scherzer, Max",27.2,94.5
"Schlittler, Cam",43.5,97.9
"Sears, JP",22.2,92.5
"Senga, Kodai",47.6,95.7
"Senzatela, Antonio",41.1,94.3
"Severino, Luis",40.2,96.15
"Singer, Brady",29.46666666666667,91.96666666666665
"Skenes, Paul",24.5,97.55000000000001
"Skubal, Tarik",48.849999999999994,97.25
"Snell, Blake",57.5,95.5
"Soriano, José",35.3,97.55000000000001
"Springs, Jeffrey",43.2,90.7
"Stroman, Marcus",38.9,92.6
"Taillon, Jameson",44.15,93.15
"Urquidy, José",52.8,93.5
"Urías, Julio",44.95,93.6
"Valdez, Framber",43.166666666666664,94.56666666666666
"Verlander, Justin",53.75,94.65
"Wacha, Michael",51.86666666666667,93.23333333333333
"Wainwright, Adam",45.6,88.73333333333333
"Walker, Taijuan",39.9,92.8
"Warren, Will",27.3,93.3
"Weathers, Ryan",33.0,95.8
"Webb, Logan",20.2,92.52
"Wheeler, Zack",32.7,96.3
"Williams, Gavin",33.35,96.94999999999999
"Woo, Bryan",24.450000000000003,95.80000000000001
"Woodruff, Brandon",42.7,96.55
"Wright, Kyle",28.7,95.2
"Wrobleski, Justin",35.9,94.3
"Yamamoto, Yoshinobu",41.599999999999994,95.7
